product_id,product_name,product_category,product_description,unit_price
1,Crispy Kale Chips,Food - Snacks,"Baked kale chips seasoned for a healthy, crunchy snack.",2.99
2,Wall Art,Home,Abstract canvas print to enhance home decor.,45.0
3,Smartphone Projector Kit,Electronics,DIY kit to convert your smartphone into a mini projector.,24.99
4,Sooji (Semolina),Food - Baking,"Fine semolina flour, perfect for pasta and desserts.",1.99
5,Californian Raisins,Food - Dried Fruits,"Sweet dried raisins, perfect for snacks or baking.",3.19
6,Kids' Learning Tablet,Electronics,Educational tablet designed for preschool-age children.,129.99
7,Wooden Blocks,Toys,Classic wooden building blocks for toddlers.,24.99
8,Adjustable Kneeling Pad,Garden,Comfortable kneeling pad for gardening or home projects.,18.99
9,Fitness Tracker Band,Fitness,Affordable fitness tracker with heart rate monitor.,29.99
10,LED Desk Light,Home,Adjustable LED desk light with brightness settings.,34.99
11,High-Quality Yoga Mat,Fitness,Non-slip mat designed for yoga and fitness exercises.,34.99
12,Electric Nail File Kit,Beauty,Professional-grade nail care set for manicures and pedicures.,34.99
13,Travel Laundry Bag,Travel,Compact laundry bag for travel use.,9.99
14,Asian Stir-Fry Vegetables,Food - Frozen Foods,Frozen mix of colorful stir-fry veggies.,2.99
15,Whole Grain Cereal,Food - Breakfast,"Healthy whole grain cereal, great for breakfast.",3.49
16,Cinnamon Raisin Bread,Food - Bakery,"Sweet bread with cinnamon and raisins, great for breakfast or snacks.",3.79
17,Weighted Blanket for Adults,Health,A calming blanket that provides gentle pressure for relaxation.,59.99
18,Creamy Tomato Basil Soup,Food - Canned Goods,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",3.29
19,Ultraviolet Phone Sanitizer,Health,UV sanitizer that kills germs on your smartphone.,39.99
20,Cocoa Powder,Food - Baking,Rich cocoa powder for baking and chocolate recipes.,3.99
21,Wireless Gaming Mouse,Gaming,Ergonomic mouse designed for gamers with high DPI.,39.99
22,Chicken Broth,Food - Canned Goods,"Rich and flavorful chicken broth, great for soups.",2.49
23,Tandoori Chicken Marinade,Food - Condiments,Delicious and tangy marinade for grilling or baking chicken.,2.49
24,Honey Almond Granola Bars,Food - Snacks,Chewy granola bars made with honey and almonds.,3.99
25,Sunglasses Case,Accessories,Hard-shell case for protecting sunglasses.,15.99
